anon_app_id,n_countries_observed,ADII_mean,DGI_mean,PCLR_mean,AS_mean,categories,ad_supported,offersIAP,top_grossing,downloads_bucket
app_0078,26,353.96153846153845,0.6972527472527473,0.3860867724001158,0.4494156107751727,Lifestyle,False,False,No,1K-10K
app_0079,26,293.34615384615387,0.9434523809523809,0.5287016235179846,0.3033655314487573,Health & Fitness,True,True,No,10K-100K
app_0080,26,396.6923076923077,0.8615689865689866,0.5400706137410402,0.3049820687456595,Medical,False,False,No,10M+
app_0081,26,352.7307692307692,0.9494505494505495,0.3607183136031298,0.4068255856074407,Health & Fitness,True,False,No,10K-100K
app_0082,26,993.8461538461538,0.9511752136752136,0.5805332269392154,0.2996923366900188,Health & Fitness,False,True,No,100K-1M
app_0083,26,390.38461538461536,0.9516483516483517,0.30371950323813307,0.48006720008678727,Health & Fitness,False,False,No,10K-100K
app_0084,26,835.1153846153846,1.0,0.17495226720427504,0.3673535897313381,Medical,False,True,No,100K-1M
app_0085,25,763.56,1.0,0.34196294480539635,0.3170106066481099,Medical,False,True,Yes,1M-10M
app_0086,26,1156.2692307692307,1.0,0.5079728762326927,0.3840478030217227,Health & Fitness,False,True,No,1M-10M
app_0087,26,324.11538461538464,0.8162087912087912,0.3897898294677472,0.5200728005831122,Health & Fitness,False,True,Yes,1M-10M
app_0088,26,214.92307692307693,1.0,0.3693328068526194,0.3559162951360925,Health & Fitness,False,True,Yes,1M-10M
app_0089,25,950.72,0.773010101010101,0.3164349379737541,0.4454494422568548,Medical,False,False,Yes,10M+
app_0090,1,3184.0,0.8666666666666667,0.5392335766423357,,Medical,False,False,No,1M-10M
app_0091,9,762.8888888888889,0.7584656084656084,0.35406456692409527,0.45914254166421603,Medical,False,False,No,100K-1M
app_0092,26,475.4230769230769,0.8883394383394384,0.41193904882214366,0.4815886985620812,Medical,False,False,No,10K-100K
app_0093,26,377.65384615384613,1.0,0.3604144993745272,0.4583430481477906,Education,False,True,No,1K-10K
app_0094,26,1583.7307692307693,0.9114774114774116,0.6935233777266976,0.3108155868792813,Health & Fitness,False,True,No,100K-1M
app_0095,26,225.69230769230768,1.0,0.33371298502475594,0.3465149062725818,Medical,False,True,No,100K-1M
app_0096,26,207.30769230769232,0.9274725274725275,0.38724888215724546,0.2698559486420922,Medical,False,True,No,100K-1M
app_0097,26,841.1538461538462,0.8400835275835276,0.47649246298826525,0.2862275688171358,Medical,False,False,No,100K-1M
app_0098,26,258.6923076923077,1.0,0.4243553067543017,0.4103505409279902,Health & Fitness,False,False,No,1M-10M
app_0099,25,1472.04,1.0,0.2727324720443061,0.3355438068946795,Health & Fitness,True,True,Yes,10M+
app_0100,9,696.4444444444445,0.9382716049382717,0.311244201881925,0.3257804830383426,Health & Fitness,False,True,Yes,1M-10M
app_0101,25,845.76,0.8791515151515152,0.36369602476049706,0.439038874927829,Medical,False,False,No,100K-1M
app_0102,26,1350.076923076923,0.8197913197913198,0.238718366137906,0.5848133333337266,Medical,False,False,No,100K-1M
app_0103,26,769.6538461538462,0.8320085897008974,0.44605232315559395,0.2799569679873027,Medical,False,False,No,100K-1M
app_0104,26,1014.2692307692307,0.941371128871129,0.43285003920611465,0.3176498406182511,Health & Fitness,False,True,No,1K-10K
app_0105,26,387.46153846153845,0.8134004884004884,0.2971103270646838,0.4889071021716166,Health & Fitness,False,True,No,10K-100K
app_0106,25,847.28,0.9724131652661064,0.24120873648792582,0.43239953347626103,Health & Fitness,False,True,Yes,1M-10M
app_0107,26,283.1923076923077,0.9001831501831502,0.3720797726457952,0.3194787362457768,Medical,True,True,No,100K-1M
app_0108,26,1330.6153846153845,0.959775641025641,0.5725016478896552,0.2279376452992681,Health & Fitness,False,True,No,100K-1M
app_0109,26,615.1923076923077,1.0,0.255725568800662,0.3148760189366471,Health & Fitness,False,True,No,100K-1M
app_0110,26,217.15384615384616,1.0,0.400455730278522,0.35029866004997856,Health & Fitness,False,False,No,10K-100K
app_0111,26,313.5,0.7220695970695972,0.47057959991993936,0.3345070061282668,Health & Fitness,True,True,No,1K-10K
app_0112,26,675.8076923076923,0.7296980796980796,0.19633369182762264,0.4112397743757881,Health & Fitness,False,True,No,1M-10M
app_0113,26,425.2692307692308,1.0,0.35202696897575875,0.3439708430200025,Health & Fitness,True,True,No,10K-100K
app_0114,26,387.7307692307692,1.0,0.4383113348333397,0.272530256172772,Health & Fitness,False,True,No,100K-1M
app_0115,26,176.8846153846154,1.0,0.40740123776080855,0.3269043363034525,Lifestyle,False,True,No,100K-1M
app_0116,26,1092.6153846153845,0.9595840057378519,0.46650852188014624,0.3818913402080962,Health & Fitness,False,True,Yes,1M-10M
app_0117,26,432.84615384615387,0.7996031746031746,0.504338893086416,0.4234835730031049,Health & Fitness,False,False,No,1M-10M
app_0118,26,526.6153846153846,0.8513583638583638,0.5675355100049525,0.3048956704071081,Lifestyle,False,True,No,1M-10M
app_0119,26,314.5,0.9395604395604396,0.42362138245940756,0.3007599946672456,Health & Fitness,True,True,No,1M-10M
app_0120,26,451.3076923076923,0.9945054945054945,0.5688913411583556,0.33267897002117447,Medical,False,True,No,10K-100K
app_0121,26,241.15384615384616,1.0,0.45631855682281885,0.4530819517787084,Health & Fitness,False,False,No,1K-10K
app_0122,26,267.5,0.9285714285714286,0.3050880173212728,0.3336765103052658,Medical,False,True,No,10K-100K
app_0123,26,390.0769230769231,0.926923076923077,0.5300327914286738,0.4466486181965393,Health & Fitness,True,True,No,100K-1M
app_0124,1,1001.0,1.0,0.3705583756345177,,Medical,True,True,No,1M-10M
app_0125,26,363.65384615384613,1.0,0.4066972275296298,0.414994444805019,Parenting,False,True,No,10K-100K
app_0126,25,623.64,0.8935873015873015,0.3063845082137165,0.3697336895983059,Parenting,True,False,Yes,10M+
app_0127,26,392.15384615384613,0.9095848595848596,0.3470848099978744,0.3727936742150115,Health & Fitness,False,True,No,100K-1M
app_0128,3,381.3333333333333,0.7658730158730158,0.19981385551759187,0.2831671100508346,Health & Fitness,False,False,No,10K-100K
app_0129,26,1352.2692307692307,1.0,0.32421036262797437,0.6286831530483057,Lifestyle,True,True,Yes,1M-10M
app_0130,25,329.48,1.0,0.43285591175674865,0.498380046790619,Medical,False,False,No,100K-1M
app_0131,26,799.3076923076923,0.8021367521367521,0.29714497819551944,0.3887357694654309,Health & Fitness,False,True,No,100K-1M
app_0132,25,242.64,0.9348412698412699,0.40668904420816143,0.4040960707916614,Medical,False,True,No,1K-10K
app_0133,26,613.6538461538462,0.9317612942612943,0.5403061067980798,0.4927201904705087,Food & Drink,True,True,No,1M-10M
app_0134,25,1680.28,0.8258095238095238,0.18854071148188353,0.4742665840386557,Health & Fitness,False,True,No,1M-10M
app_0135,10,370.0,0.8114285714285714,0.35322101534253947,0.6766928277941459,Medical,True,False,No,100K-1M
